Word,Meaning,Meaning Only
Abrasive,Rough; causing irritation; harsh,Rough; causing irritation; harsh
Abreast,"Being up to particular standard or level especially in being up to date in knowledge ex:\""kept abreast of the latest developments\""",Being up to particular standard or level especially in being up to date in knowledge 
Activism,The practice of pursuing political or other goals,The practice of pursuing political or other goals
Adumbrate,"Describe roughly or briefly or give the main points or summary of ex:\""I adumbrated that I did not like his wife\""",Describe roughly or briefly or give the main points or summary of 
Aerie,The lofty nest of a bird of prey (such as a hawk or eagle),The lofty nest of a bird of prey (such as a hawk or eagle)
Affected,Fake acting; have effect,Fake acting; have effect
Affluenza,"An extreme form of materialism resulting from the excessive desire for material goods ex:\"" Neologism for american\'s desire for electronic goods is Affluenza\""",An extreme form of materialism resulting from the excessive desire for material goods 
Albeit,Although ex:The village head is illiterate albeit very intelligent,Although 
Alienate,Causing hostility;,Causing hostility;
Amortize,"Gradually paying off debt Ex:\""Amortize your mortgage over a loan period based on your input\""",Gradually paying off debt 
Amulet,Talisman,Talisman
Anachronism,something wrong happened in the past Ex:Did you catch the anachronisms set in the latest blockbuster set in the Ancient Greece?,something wrong happened in the past 
Analgesia,Pain relief ex:Natural birth advocates reject Analgesia in child birth,Pain relief 
Anoint,Treat as divine; apply oil or ointment,Treat as divine; apply oil or ointment
Antagonize,Hostility; unfriendly,Hostility; unfriendly
Antedate,"Be earlier in time;  go back further Ex:\""Stone tools antedate bronze tools\""",Be earlier in time;  go back further 
Antithetical,Directly opposed Ex:Partying hard is antithetical to one\'s performance in exams,Directly opposed 
Apocryphal,Of questionable authenticity,Of questionable authenticity
Apostate,Person who deserts Party or religion or cause Ex: Some people consider freedom fighters as Apostate,Person who deserts Party or religion or cause 
Apostle,Pioneer of a reform moment Ex:Rubens is the Apostle of Mediterrian diet,Pioneer of a reform moment 
Approbation,Formal praise or approval. Ex:She won approbation from er peers,Formal praise or approval. 
Appropriate,Take for one\'s own use ex: Principal appropriated Flood relief fund for personal use,Take for one\'s own use 
Arbiter,Judge. Ex:Professional mediator arbitrate disputes,Judge. 
Arcane,secret; hidden,secret; hidden
Ascetic,Person who leads austere life,Person who leads austere life
Asperity,harshness; rough Ex:Asperity of cheap sweater/asperity of principal for not attending college,harshness; rough 
Assail,Attack Ex:Assail the enemy,Attack 
Assiduous,"Persevering; diligent; sedulous; consistent efforts. Ex:\""her assiduous attempts to learn French\"";",Persevering; diligent; sedulous; consistent efforts. 
Attuned,Adjusted;  Ex:Attuned to the new environment,Adjusted;  
Augury,"Foreboding; presage; divination; omen; prophecy;  Ex:\""I hoped the augury was a true one, but there were times when I doubted.\""",Foreboding; presage; divination; omen; prophecy;  
August,"Majestic; grand; venerable; reveredEx:\""august holy men\""",Majestic; grand; venerable; revered
Autism,Syndrome to consider others as people,Syndrome to consider others as people
Avid,Enthusiastic; Desirous of power,Enthusiastic; Desirous of power
Axiom,Self evident truth Ex;  Its axiomatic that brain is dependent upon body,Self evident truth Ex;  Its axiomatic that brain is dependent upon body
Balk,Refuse to proceed,Refuse to proceed
Balk,Refuse to proceed or to do something,Refuse to proceed or to do something
Balloon,Swell. Ex: Junk shares ballooned during dotcom boom,Swell. 
Bane,Something cursing. Ex:Mosquitoes are baneful to my life,Something cursing. 
Baying,Howling like wolf. Ex:The lonely dog bayed all night,Howling like wolf. 
Benediction,Opp:Malediction,Opp:Malediction
Beneficent,Philanthropic; doing good; benevolent. Ex: Salmankhan is a beneficent guy,Philanthropic; doing good; benevolent. 
Benign,Innocuous; harmless; kindly; not cancerous,Innocuous; harmless; kindly; not cancerous
Besiege,Attack; surrounded. Ex:The regiment was besieged by the enemies,Attack; surrounded. 
Bevy,Group of birds; large group of people. Ex:The bar owner cringed after watching bevy of women,Group of birds; large group of people. 
Bickering,Quibble; nibble; spat; squabble; fuss,Quibble; nibble; spat; squabble; fuss
Blight,Destroy; ruin; killing plants. Ex:Violence had blighted our town. Blight killing their farms,Destroy; ruin; killing plants. 
Bonhomie,Friendliness Ex:Everest base trip had developed bonhomie with so many people,Friendliness 
Brandish,"Shake; wave. Ex:After drinking Brandi, drunken guy had brandished sword in ladies tent",Shake; wave. 
Brook,Suffer Ex:Brook shields had to brook a lot of wicked remarks from MI guy,Suffer 
Burlesque,Travesty; lampoon; humorous comedy,Travesty; lampoon; humorous comedy
Burnish,Polish; smooth. Ex:I have replaced all rustic door knobs with burnished knobs,Polish; smooth. 
Bygone,Former or past,Former or past
Cadaver,Corpse; clay; dead body,Corpse; clay; dead body
Calumny,canard; slander; aspersion; malign; false rumor Ex:I hate your wicked(morally bad) calumnious accusations,canard; slander; aspersion; malign; false rumor 
Canoe,small light boat,small light boat
Caravan,A procession going with mules; elephants; sheep etc Ex:Caravan of animals,A procession going with mules; elephants; sheep etc 
Catholic,Universal; broadminded,Universal; broadminded
Cellulite,Excessive fat in thighs,Excessive fat in thighs
Chicanery,wile; deception; bilk; trick Ex:I have had enough of your chicanery young man :),wile; deception; bilk; trick 
Chronological,Arranging in time order,Arranging in time order
Circumscribe,To be constructed around so as to touch all points Ex:A square circumscribed inside a circle by touching all points 2)To limit; restrict; skittish(limited),To be constructed around so as to touch all points 
Circumspect,cautious; wile. Ex:my brother was circumspect about my future hubby,cautious; wile. 
Clamber,climb awkwardly. Ex:with excitement to reach the top of summit she clambered even the steepest points,climb awkwardly. 
Clandestine,"Conducted with or marked by hidden aims or methods Ex:\""clandestine intelligence operations\""",Conducted with or marked by hidden aims or methods 
Cliquish,Snobbish; social exclusiveness,Snobbish; social exclusiveness
Cloying,Distasteful. Ex:Cloying sweets,Distasteful. 
Coda,Epilogue; end. Ex:The coda of the day was amazing,Epilogue; end. 
Coffer,"Place of storing financial documents; treasury Ex:\""He was arrested for dipping into coffer\"" \""I use my drawer as coffer for storing priceless old coins",Place of storing financial documents; treasury 
Collude,Connivance; secret agreement; collusion. Ex:Two companies colluded for increasing the prices,Connivance; secret agreement; collusion. 
Compendium,Brief summary. Ex:Movie review is a compendium of entire movie,Brief summary. 
Compendium,A publishing containing different works,A publishing containing different works
Complaisant,Complying cheerfully; Oblige; pleasing. Ex:Complaisant workers in the new country,Complying cheerfully; Oblige; pleasing. 
Concede,Give in; admit; accept,Give in; admit; accept
Concur,Approve; agree; avow; concede; affirm;,Approve; agree; avow; concede; affirm;
Confection,The act of creating by mixing few things. Ex:confection of sweets,The act of creating by mixing few things. 
Confection,The act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components,The act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
Confound,Frustrate Ex: I was confounded with the questions Baffle; conundrum; puzzle; riddle,Frustrate 
Connotation,"Suggestion; implied; literal meaning. Ex:Titanic means \""Large\"", but it was sunk, so it had negative connotation",Suggestion; implied; literal meaning. 
Constrict,Squeeze; restrict the freedom of,Squeeze; restrict the freedom of
Construe,Interpret; translate,Interpret; translate
Contextualize,place in context,place in context
Converge,Unite; move towards a point,Unite; move towards a point
Conversely,Opposite,Opposite
Convoke,Call together. Ex:The dean has convoked this meeting for discussion about new rules,Call together. 
Coroner,medical examiner,medical examiner
Cosset,"Pamper;  Ex\""The cosseted toddler","Pamper;  Ex\""The cosseted toddler"
Couch,formulate particular style or language. Ex:Couch pillows twice a day,formulate particular style or language. 
Counterintuitive,against intutively,against intutively
Counterpoint,Antithetical; opposite,Antithetical; opposite
Covert,Esoteric; veiled; hidden,Esoteric; veiled; hidden
Credulous,Gullible; dupe; easily believing,Gullible; dupe; easily believing
Crescendo,Reaching climax; steadily increasing force,Reaching climax; steadily increasing force
Cringed,Draw back with fear or pain; recoiled. Ex:Girl cringed after finding her mother when she was with her BF,Draw back with fear or pain; recoiled. 
Culmination,Highest point,Highest point
Cupidity,Greed; Avarice. Ex:Doctor had lost his licence due to his cupidity,Greed; Avarice. 
Dalliance,Flirting,Flirting
Daunt,Dishearten; discourage,Dishearten; discourage
Debase,degrade; lower. Ex:Don't debase yourself by accepting bribery,degrade; lower. 
Declaim,Speak in pompous manner; Formal speech. Ex:After drinks Gabby declaim about her policy whole night,Speak in pompous manner; Formal speech. 
Declivity,Downward slope,Downward slope
Deem,Judge; consider,Judge; consider
Deface,Mar the appearance; vandalize; wanton,Mar the appearance; vandalize; wanton
Default,Failure to act,Failure to act
Deference,Reverence; submission; yielding to authority,Reverence; submission; yielding to authority
Deflect,turn aside,turn aside
Deleterious,Harmful,Harmful
Delimit,Fix; limit. Ex:The role of an executive coach was delimited by our behavior,Fix; limit. 
Delineate,limn(draw); describe; draw a outline,limn(draw); describe; draw a outline
Demagouge,Leader who claims power by spreading false information,Leader who claims power by spreading false information
Demure,Diffident; Shy; coy; Diffident. Ex:Demure fellow,Diffident; Shy; coy; Diffident. 
Desultory,Going off track; going off topic. Ex:You are preparing for GRE in a most desultory way,Going off track; going off topic. 
Detached,Disinterested; unbiased,Disinterested; unbiased
Diaphanous,Transparent; translucent; pellucid. Ex:Diaphanous silk,Transparent; translucent; pellucid. 
Dictum,"Proverb; Formal order. Ex:The old dictum was \""A stitch in time saves nine\""",Proverb; Formal order. 
Didactic,Instructive; teaching,Instructive; teaching
Dilate,make wider. ex:Doctor given eye drops for dilating my pupil Talk at length; elaborate. Ex:Poet dilated for an hour about his new poem,make wider. ex:Doctor given eye drops for dilating my pupil Talk at length; elaborate. 
Dilatory,Come late. Ex:He\'s a dilatory fellow,Come late. 
Dilettante,person who learns art for fun. Ex: He is a Dilettante fellow,person who learns art for fun.
Din,Loud and confusing noise,Loud and confusing noise
Dirge,Elegy; Eulogy\'Encomium; coda; compendium; Paean; Panegyric. Ex:His Dirge for Linocoln was so boring,Elegy; Eulogy\'Encomium; coda; compendium; Paean; Panegyric. 
Discomfit,Frustrating; confusion(baffle). Ex:Your acts are discomfiting,Frustrating; confusion(baffle). 
Discordant,Dissonant; inharmonious; disharmonious. Ex:Discordant speech,Dissonant; inharmonious; disharmonious. 
Discriminate,Discern; showing good judgement,Discern; showing good judgement
Disjointed,disconnected; jerky; having joints separated,disconnected; jerky; having joints separated
Disparage,belittle; shame. Ex:your acts bring disparage to us,belittle; shame. 
Disparate,Discrete; distinct; different. Ex:Use quotations to disparate from others,Discrete; distinct; different. 
Dispassionate,detached; disinterested; Calm; not passionate,detached; disinterested; Calm; not passionate
Disquieting,Disturbing,Disturbing
Dissemble,Pretend. Ex:Dissembling as an inexperienced guy,Pretend. 
Distaff,relatives from maternal side; woman staff. Ex:Doctor had asked whether any distaff has cancer?,relatives from maternal side; woman staff. 
Distend,Swell; balloon. Ex:Distended tummy,Swell; balloon. 
Distill,Purify; extract the important elements,Purify; extract the important elements
Dither,"Act indecisively. Ex:Stop dithering, select one shirt first;  Trembling or state of fearEx; Children came out of dither state",Act indecisively. 
Diurnal,Occurring every day;  Happens in the morning. Ex:Taking lunch is a diurnal affair,Occurring every day;  Happens in the morning. 
Doctrinaire,Rigid; impractical. Ex:Don\'t be doctrinaire and consider other feelings also,Rigid; impractical. 
Doff,Take off shirts:remove hats as state of gesture. Ex:Doff your shirt and kiss me,Take off shirts:remove hats as state of gesture. 
Dogma,Gospel; sermon; gospel; doctrine; tenet; code of beliefs,Gospel; sermon; gospel; doctrine; tenet; code of beliefs
Domicile,Abode; dwelling place; habitat; Shack. Ex:You should have a domicile near to a place where you work,Abode; dwelling place; habitat; Shack. 
Dovetail,join or fit together. Ex:Their careers dovetailed nicely,join or fit together. 
Drivel,Saliva dropping out from mouth,Saliva dropping out from mouth
Droll,"Goof; Funny in an odd way. Ex:It was a droll production, funny in a odd way",Goof; Funny in an odd way. 
Dupe,Person who became fool. Ex:I was a dupe; many people duped me before also,Person who became fool. 
Duplicity,Deceitful. Ex:We came to know his duplicity after few days,Deceitful. 
Dyspeptic,Irritating; suffering from indigestion. Ex:Dyspeptic professor,Irritating; suffering from indigestion. 
Ebullient,enthusiastic. Ex: Ebullient kid,enthusiastic. 
Ebullient,Unrestrained joyous,Unrestrained joyous
Echelon,Higher ran executives; a level. Ex:You can't meet echelons directly; I can't thrust echelon further,Higher ran executives; a level. 
Edify,Enlighten spiritually. Ex:read book which can edify you,Enlighten spiritually. 
Effrontery,Audacious; presumptuous. Ex:I hate my daughter's BF effrontery proposal,Audacious; presumptuous. 
Egalitarian,belief in the equality of all people (economic; social; political),belief in the equality of all people (economic; social; political)
Egress,emerge out of. Ex:You should not block a primary or secondary egress doors,emerge out of. 
Elicit,Call forth; bring out; evoke,Call forth; bring out; evoke
Emaciate,Became thin. Ex:Family surprised to see emaciated guy who was in Sea,Became thin. 
Embellish,Ornate; decorate; adorn,Ornate; decorate; adorn
Emulate,copy,copy
Engender,Produce; procreate; multiply. Ex: Demagouge was responsible for engendering hatred and divisiveness,Produce; procreate; multiply. 
Enigma,Puzzle; confound; conundrum;,Puzzle; confound; conundrum;
Enumerate,Specify individually,Specify individually
Enumerate,specify one-by-one; count,specify one-by-one; count
Enumerate,Specify individually; count,Specify individually; count
Epicure,Gastronomist; person who has good taste in food and drinks. Ex:He is a great epicure(Dad),Gastronomist; person who has good taste in food and drinks. 
Equanimity,Composure. Ex:Doctor's Equanimity was unparalleled,Composure. 
Equitable,Fair; equal; just,Fair; equal; just
Ersatz,Inferior; substitute. Ex:Ersatz quality,Inferior; substitute. 
Ethos,"Characteristic or attribute of person, group (culture) or time period. Ex:Ethos of hard work and athletic competition","Characteristic or attribute of person, group (culture) or time period. "
Euphemism,"Use inoffensive words in case of offensive. Ex:Instead of saying he ""Died of cancer"", using euphemism as :""Finally is troubles are over""",Use inoffensive words in case of offensive. 
Euphony,Sweet sound. Ex:You miss poet's euphony if you translate,Sweet sound. 
Euphoria,reveler; Merrymaker; very happy; blithe; elated,reveler; Merrymaker; very happy; blithe; elated
Exhume,disinter; place body outside,disinter; place body outside
Exigent,Emergency. Ex:due to Exigent matters i didnt come for lunch,Emergency. 
Exonerate,Exculpated; clear from blame. Ex:he was exonerated from crime,Exculpated; clear from blame. 
Expedience,Opportunism,Opportunism
Expedient,Proper; formal. Ex:It is expedient to send gift,Proper; formal. 
Expurgate,Censor. Ex:Expurgated Novel due to lewd content,Censor. 
Extemporaneous,Done without rehearsal. Ex: It was extemporaneous to act in front of MY Mom when she cam suddenly,Done without rehearsal. 
Exuberant,Joyfully unrestrained; excessive,Joyfully unrestrained; excessive
Facsimile,Fax; duplicate copy,Fax; duplicate copy
Faction,Small group. Ex: Small factions's caucus had terminated abnormally with argots and cants,Small group. 
Fashioned,Forged. Ex:Fashioned house in the forest,Forged. 
Fathom,Come to understand; measure the depth of Ex: Its hard to fathom the mind of my neighbors,Come to understand; measure the depth of 
Fathomless,fathom; sound; Come to understand,fathom; sound; Come to understand
Fecund,fertile. Ex:Fecund land,fertile. 
Felicitous,Marked by happiness; appropriate. Ex:Felicitous ocassion,Marked by happiness; appropriate. 
Fervid,Fervent; Torrid; perfervid; ardent. Ex:Fervid fan of football,Fervent; Torrid; perfervid; ardent. 
Fiat,Order,Order
Figurative,Having many forms,Having many forms
Finesse,Extreme delicacy,Extreme delicacy
Fledgling,Bird which got new feathers Ex:Nice to see fledglings to come out of aeries for the first time,Bird which got new feathers 
Fleeting,Passing quickly; temporarily(transitory),Passing quickly; temporarily(transitory)
Foment,Instigate; stir up; provoke,Instigate; stir up; provoke
Forage,"Search for a food. Ex: Raccoon's forage in your garden,if you leave food",Search for a food. 
Foray,Sudden attack,Sudden attack
Forbearance,Patience,Patience
Ford,A place water is small enough to cross or ride,A place water is small enough to cross or ride
Foreshadow,Presage,Presage
Forfeit,Surrender or loose as a part of error; cancel,Surrender or loose as a part of error; cancel
Fortify,strengthen,strengthen
Fortuitous,Happen by chance,Happen by chance
Frenetic,"Frantic; Wildly excited. Ex:He was such a frenetic,he used to sex while brushing his teeth :)",Frantic; Wildly excited. 
Fringe,Periphery; on the margin,Periphery; on the margin
Frisky,Playful like a lively kitten(young domestic cat). Ex:Frisky child,Playful like a lively kitten(young domestic cat). 
Fulminate,Rail; Explode; attack against. Ex: My father fulminate against gun powder,Rail; Explode; attack against. 
Furtive,Secret; hiding. Ex:Quite furtive about junk food,Secret; hiding. 
Gabby,Trivial conversation,Trivial conversation
Garner,collect; amass. Ex:He garnered so many copies of classic novels for GRE,collect; amass. 
Gauche,Tactless; lacking social grace; awkward; crude,Tactless; lacking social grace; awkward; crude
Gawky,Physically awkward,Physically awkward
Gestation,Pregnancy period. Ex:Elephant's gestation period is 22 months,Pregnancy period. 
Glacial,Cold; unsympathetic. Ex:Judge's glacial looks had scared me,Cold; unsympathetic. 
Glower,Frown; sullen; Looking angry or sullen and wrinkle one's forehead as a symbol of disapproval. Ex:GF glowered at me as I had missed her birthday,Frown; sullen; Looking angry or sullen and wrinkle one's forehead as a symbol of disapproval. 
Gory,Slaughterous; sanguinary; butchery Ex:I hate gory movies where people eyes are gouged out,Slaughterous; sanguinary; butchery 
Goth,Barbarian,Barbarian
Gothic,Medieval; (literature)grotesque(ludicrous),Medieval; (literature)grotesque(ludicrous)
Gouge,Digging tool like chisel,Digging tool like chisel
Gradation,Progression,Progression
Graft,embezzlement; inserting one plant into another where it continues to grow. Ex:I hate his graft and like him when he grafts one plant into an another plant,embezzlement; inserting one plant into another where it continues to grow. 
Graft,Inserting plant into another plant,Inserting plant into another plant
Grandstand,Perform showily to impress others,Perform showily to impress others
Grating,Irritating; harsh or discordant,Irritating; harsh or discordant
Grievous,causing grief;,causing grief;
Grovel,creep or crawl by keeping one's face on the ground,creep or crawl by keeping one's face on the ground
Guile,Clever deceit; cunning; mulct(impose a fine),Clever deceit; cunning; mulct(impose a fine)
Gussy,Adorn; clothe; decorate,Adorn; clothe; decorate
Hackneyed,common place; banal,common place; banal
Hand,"wringing, Grasping or squeezing due to nervousness","wringing, Grasping or squeezing due to nervousness"
Hapless,Unlucky; unfortunate,Unlucky; unfortunate
Harangue,Vehement speech;  Ex:Coach's harangue for failure,Vehement speech;  
Hardy,Hard; Brave,Hard; Brave
Harrow,Farming tool that breaks soil; Painfully disturb or distress,Farming tool that breaks soil; Painfully disturb or distress
Hearken,Pay attention; listen,Pay attention; listen
Hedge,Fraud; putting bets on both sides;,Fraud; putting bets on both sides;
Hedonism,pursuit of pleasure as highest(ethic),pursuit of pleasure as highest(ethic)
Hedonist,Person devoted to pleasure,Person devoted to pleasure
Hegemony,Domination; authority,Domination; authority
Hew,Strike; chop or hawk,Strike; chop or hawk
Hoary,Very old or gray,Very old or gray
Homage,Honor or respect,Honor or respect
Hoodwink,Deceive,Deceive
Hostile,Inimical; Enmity or ill-will; unfriendly,Inimical; Enmity or ill-will; unfriendly
Hotly,Fiery and intense,Fiery and intense
Idyllic,Pastoral; bucolic; rustic; mean; base,Pastoral; bucolic; rustic; mean; base
Ignoble,Not noble,Not noble
Illiberality,Bigotry; narrow mindedness;,Bigotry; narrow mindedness;
Imbue,Saturate or dye; soak cloth throughly,Saturate or dye; soak cloth throughly
Imminent,Impending; ready to happen,Impending; ready to happen
Impair,damage,damage
Impasse,Deadlock,Deadlock
Impecunious,penury; wretched;,penury; wretched;
Impede,Obstruct,Obstruct
Imperious,Commanding,Commanding
Impious,not religious; Lacking reverence,not religious; Lacking reverence
Implode,Burst inward,Burst inward
Imponderous,can't think,can't think
Imprecation,curse,curse
Impugn,Attack the truth,Attack the truth
Impute,Ascribe; credit,Ascribe; credit
Inasmuch,Considering; In like manner,Considering; In like manner
Incarnadine,Blood red or flesh-colored,Blood red or flesh-colored
Inchoate,incipient; beginning state,incipient; beginning state
Incipient,Inchoate,Inchoate
Inconstancy,Fickleness; Unreliability,Fickleness; Unreliability
Inculcate,Teach persistently; plant in brain,Teach persistently; plant in brain
Indefatigable,Untiring,Untiring
Indeterminate,Vague,Vague
Ineffable,sacred; sacrosanct; inviolable. Ex:Ineffable beauty; sacrosanct,sacred; sacrosanct; inviolable. 
Inept,efficient,efficient
Inert,impassive,impassive
Infallible,Incapable of error; certain,Incapable of error; certain
Ingrained,deep routed,deep routed
Ingrate,Ungrateful person; person showing no gratitude,Ungrateful person; person showing no gratitude
Ingratiate,Make an effort to gain favor,Make an effort to gain favor
Inimical,hostile,hostile
Inordinate,Excessive,Excessive
Inquest,Judicial inquiry,Judicial inquiry
Insinuate,Adumbrate,Adumbrate
Insinuate,Adumbrate; give to understand; insert in a subtle manner,Adumbrate; give to understand; insert in a subtle manner
Insularity,Detached; standing alone,Detached; standing alone
